CountryName,CountryCode,IndicatorName,IndicatorCode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,48.91,48.81,48.71,48.61,48.51,48.41,48.31,48.21,48.11,48.01,47.91,47.81,47.71,47.61,47.51,47.41,47.31,47.21,47.11,47.01,46.91,46.81,46.71,46.61,46.51,46.41
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.79,28.72,28.65,28.57,28.50,28.43,28.36,28.29,28.22,28.15,28.08,28.17,28.27,28.36,28.46,28.55,28.51,28.47,28.42,28.38,28.33,28.30,28.26,28.23,28.19,28.16
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04,34.04
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,3.68,3.67,3.65,3.63,3.62,3.60,3.58,3.57,3.55,3.53,3.51,3.50,3.49,3.48,3.47,3.45,3.45,3.44,3.43,3.43,3.42,2.87,2.86,2.84,2.82,2.80
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,2.93,3.01,3.09,3.16,3.24,3.32,3.40,3.47,3.55,3.63,3.71,3.71,3.72,3.72,3.73,3.73,3.74,3.76,3.77,3.78,3.80,3.81,3.82,3.83,3.85,3.86
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,12.71,12.61,12.50,12.39,12.28,12.18,12.07,11.96,11.86,11.75,11.64,11.52,11.40,11.27,11.15,11.03,10.91,10.80,10.68,10.57,10.45,10.34,10.23,10.12,10.02,9.91
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,11.77,11.75,11.75,11.75,11.74,11.73,11.72,11.72,11.71,11.70,11.70,11.69,11.68,11.68,11.67,11.66,11.65,11.65,11.64,11.63,11.63,11.63,11.64,11.65,11.65,11.66
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,91.95,91.75,91.60,91.45,91.25,91.10,90.95,90.75,90.60,90.40,90.25,90.10,89.90,89.75,89.55,89.40,89.25,89.05,88.90,88.75,88.55,88.40,88.20,88.05,87.90,87.70
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,23.41,23.34,23.27,23.20,23.14,23.07,23.00,22.93,22.86,22.80,22.73,22.64,22.55,22.45,22.36,22.27,22.27,22.27,22.27,22.27,22.27,22.27,22.27,22.27,22.27,22.27
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,16.73,16.74,16.74,16.74,16.75,16.75,16.76,16.76,16.76,16.77,16.77,16.74,16.71,16.68,16.65,16.61,16.50,16.38,16.27,16.15,16.04,16.08,16.12,16.16,16.20,16.24
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,45.73,45.80,45.88,45.95,46.03,46.10,46.18,46.25,46.33,46.40,46.48,46.51,46.54,46.57,46.60,46.63,46.66,46.68,46.70,46.72,46.75,46.78,46.80,46.84,46.86,46.88
Azerbaijan,AZE,Forest area (% of land area),AG.LND.FRST.ZS,10.24,10.28,10.28,10.31,10.33,10.36,10.38,10.40,10.44,10.52,10.55,10.57,10.58,10.59,10.60,10.61,10.93,11.25,11.57,11.89,12.20,12.52,12.83,13.15,13.47,13.78
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,11.25,10.90,10.55,10.19,9.84,9.48,9.13,8.77,8.42,8.06,7.71,7.58,7.45,7.31,7.18,7.05,7.61,8.17,8.73,9.29,9.85,10.03,10.21,10.39,10.57,10.75
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,22.04,22.08,22.13,22.17,22.22,22.27,22.31,22.36,22.40,22.45,22.50,22.51,22.53,22.54,22.55,22.57
